会员编号,股票代码,股票名称,交易类型,交易量,股票价格,总股价,交易手续费,交易状态,交易日期
43146748,HPM,皇富矿业,出售,2000,5.17,10340.00,103.40,交易锁定,"2016-07-01 15:42:36"
51851899,HPM,皇富矿业,出售,56,5.17,289.52,2.90,交易锁定,"2016-07-01 15:42:21"
20150668,PPE,越南电力油气咨询工程公司,购买,15000,4.00,60000.00,0.00,交易锁定,"2016-07-01 15:42:14"
P20150616,HPM,皇富矿业,出售,13188,5.17,68181.96,681.82,交易锁定,"2016-07-01 15:42:11"
012923,PPE,越南电力油气咨询工程公司,出售,6201,4.00,24804.00,248.04,交易锁定,"2016-07-01 15:42:08"
39511368,HPM,皇富矿业,出售,2309,5.17,11937.53,119.38,交易锁定,"2016-07-01 15:41:23"
52016899,HPM,皇富矿业,出售,6270,5.17,32415.90,324.16,交易锁定,"2016-07-01 15:41:17"
YT6619,HPM,皇富矿业,购买,10000,5.17,51700.00,0.00,交易锁定,"2016-07-01 15:41:04"
8030663,HPM,皇富矿业,出售,1088,5.17,5624.96,56.25,交易锁定,"2016-07-01 15:41:03"
99996121,PPE,越南电力油气咨询工程公司,购买,75,4.00,300.00,0.00,交易锁定,"2016-07-01 15:40:46"
YW889913,PPE,越南电力油气咨询工程公司,出售,3140,4.00,12560.00,125.60,交易锁定,"2016-07-01 15:40:42"
79582378,PPE,越南电力油气咨询工程公司,购买,25000,4.00,100000.00,0.00,交易锁定,"2016-07-01 15:40:21"
90629347,PPE,越南电力油气咨询工程公司,购买,15,4.00,60.00,0.00,交易锁定,"2016-07-01 15:40:08"
26126502,PPE,越南电力油气咨询工程公司,购买,1,4.00,4.00,0.00,交易锁定,"2016-07-01 15:40:02"
jbj01,HPM,皇富矿业,购买,2000,5.17,10340.00,0.00,交易锁定,"2016-07-01 15:39:31"
15177,HPM,皇富矿业,购买,237,5.17,1225.29,0.00,交易锁定,"2016-07-01 15:39:25"
68365643,PPE,越南电力油气咨询工程公司,购买,1,4.00,4.00,0.00,交易锁定,"2016-07-01 15:39:17"
PZY008,PPE,越南电力油气咨询工程公司,出售,8586,4.00,34344.00,343.44,交易锁定,"2016-07-01 15:39:16"
lqd001,PPE,越南电力油气咨询工程公司,购买,35,4.00,140.00,0.00,交易锁定,"2016-07-01 15:39:09"
68365643,HPM,皇富矿业,出售,18631,5.17,96322.27,963.22,交易锁定,"2016-07-01 15:38:59"
99996121,PPE,越南电力油气咨询工程公司,购买,250,4.00,1000.00,0.00,交易锁定,"2016-07-01 15:38:46"
20150668,PPE,越南电力油气咨询工程公司,购买,2000,4.00,8000.00,0.00,交易锁定,"2016-07-01 15:38:15"
19740506,HPM,皇富矿业,出售,12,5.17,62.04,0.62,交易锁定,"2016-07-01 15:37:22"
881936,HPM,皇富矿业,购买,96,5.17,496.32,0.00,交易锁定,"2016-07-01 15:37:19"
55278232,PPE,越南电力油气咨询工程公司,购买,1,4.00,4.00,0.00,交易锁定,"2016-07-01 15:37:17"
CHZ008,PPE,越南电力油气咨询工程公司,出售,1000,4.00,4000.00,40.00,交易锁定,"2016-07-01 15:37:15"
5188,HPM,皇富矿业,购买,19,5.17,98.23,0.00,交易锁定,"2016-07-01 15:37:15"
wc1992,PPE,越南电力油气咨询工程公司,出售,3950,4.00,15800.00,158.00,交易锁定,"2016-07-01 15:36:36"
YT702728,PPE,越南电力油气咨询工程公司,出售,3428,4.00,13712.00,137.12,交易锁定,"2016-07-01 15:36:35"
55278232,HPM,皇富矿业,购买,5703,5.17,29484.51,0.00,交易锁定,"2016-07-01 15:36:15"
CHZ008,PPE,越南电力油气咨询工程公司,出售,5000,4.00,20000.00,200.00,交易锁定,"2016-07-01 15:36:03"
71169973,HPM,皇富矿业,出售,20163,5.17,104242.71,1042.43,交易锁定,"2016-07-01 15:36:01"
P20150616,PPE,越南电力油气咨询工程公司,出售,5000,4.00,20000.00,200.00,交易锁定,"2016-07-01 15:35:51"
34976899,PPE,越南电力油气咨询工程公司,购买,2679,4.00,10716.00,0.00,交易锁定,"2016-07-01 15:35:49"
11689266,PPE,越南电力油气咨询工程公司,出售,209318,4.00,837272.00,8372.72,交易锁定,"2016-07-01 15:35:37"
8885813,PPE,越南电力油气咨询工程公司,出售,10000,4.00,40000.00,400.00,交易锁定,"2016-07-01 15:35:37"
18008141,HPM,皇富矿业,购买,97,5.17,501.49,0.00,交易锁定,"2016-07-01 15:35:29"
43146748,HPM,皇富矿业,出售,2000,5.17,10340.00,103.40,交易锁定,"2016-07-01 15:35:27"
LJL003,PPE,越南电力油气咨询工程公司,购买,1,4.00,4.00,0.00,交易锁定,"2016-07-01 15:35:23"
K83759256,PPE,越南电力油气咨询工程公司,购买,3588,4.00,14352.00,0.00,交易锁定,"2016-07-01 15:35:22"
cx,HPM,皇富矿业,出售,19960,5.17,103193.20,1031.93,交易锁定,"2016-07-01 15:34:53"
88666688,PPE,越南电力油气咨询工程公司,购买,21009,4.00,84036.00,0.00,交易锁定,"2016-07-01 15:34:40"
20160410,PPE,越南电力油气咨询工程公司,购买,1500,4.00,6000.00,0.00,交易锁定,"2016-07-01 15:34:39"
80606666,PPE,越南电力油气咨询工程公司,出售,557824,4.00,2231296.00,22312.96,交易锁定,"2016-07-01 15:34:34"
81655658,PPE,越南电力油气咨询工程公司,出售,484,4.00,1936.00,19.36,交易锁定,"2016-07-01 15:33:55"
05050575,HPM,皇富矿业,购买,2000,5.17,10340.00,0.00,交易锁定,"2016-07-01 15:33:30"
lrf1688,HPM,皇富矿业,购买,8,5.17,41.36,0.00,交易锁定,"2016-07-01 15:33:21"
25598923,HPM,皇富矿业,购买,1,5.17,5.17,0.00,交易锁定,"2016-07-01 15:33:16"
LYZ008,PPE,越南电力油气咨询工程公司,出售,236,4.00,944.00,9.44,交易锁定,"2016-07-01 15:33:07"
K87557414,PPE,越南电力油气咨询工程公司,出售,10000,4.00,40000.00,400.00,交易锁定,"2016-07-01 15:32:52"
YT6255,PPE,越南电力油气咨询工程公司,出售,10000,4.00,40000.00,400.00,交易锁定,"2016-07-01 15:32:50"
74580998,PPE,越南电力油气咨询工程公司,出售,13631,4.00,54524.00,545.24,交易锁定,"2016-07-01 15:32:48"
P22090513,PPE,越南电力油气咨询工程公司,出售,7949,4.00,31796.00,317.96,交易锁定,"2016-07-01 15:32:45"
P43530212,PPE,越南电力油气咨询工程公司,出售,9772,4.00,39088.00,390.88,交易锁定,"2016-07-01 15:32:41"
86375460,PPE,越南电力油气咨询工程公司,出售,134097,4.00,536388.00,5363.88,交易锁定,"2016-07-01 15:32:40"
27267278,PPE,越南电力油气咨询工程公司,出售,5000,4.00,20000.00,200.00,交易锁定,"2016-07-01 15:32:33"
25598923,HPM,皇富矿业,购买,4671,5.17,24149.07,0.00,交易锁定,"2016-07-01 15:32:31"
63871635,HPM,皇富矿业,购买,612,5.17,3164.04,0.00,交易锁定,"2016-07-01 15:32:05"
25382621,HPM,皇富矿业,出售,34079,5.17,176188.43,1761.88,交易锁定,"2016-07-01 15:31:40"
18003538,HPM,皇富矿业,购买,581,5.17,3003.77,0.00,交易锁定,"2016-07-01 15:31:39"
YW39613,PPE,越南电力油气咨询工程公司,购买,8618,4.00,34472.00,0.00,交易锁定,"2016-07-01 15:31:29"
